DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Characteristic_ID,Characteristic_Name,Value,Flag,Topic_ID,Release_Date,Data_Quality_Flag,TNR_SF_Pct,TNR_LF_Pct
2021S051235430651,35430651,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",140,,7,2022-07-13,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,229,Median total household income in 2020,115000,,7,2022-07-13,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",135,,7,2022-07-13,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,238,Average total household income in 2020,142000,,7,2022-07-13,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",135,,10,2022-09-21,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,1402,Renter households,0,,10,2022-09-21,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,375,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2224,Population in the labour force,225,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2225,Employed population,195,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2226,Unemployed population,30,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2228,Participation rate,60,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2229,Employment rate,52,,15,2022-11-30,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,2230,Unemployment rate,13.3,,15,2022-11-30,00000,0.7,0
2021S051235430652,35430652,Barrie,2021A00053543042,2021,1,"Population, 2021",499,,1,2022-02-09,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,6,Population density per square kilometre,3812.1,,1,2022-02-09,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.13,,1,2022-02-09,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,20,,2,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,45,,2,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,50,,2,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,40,,2,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",190,,4,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,35,,4,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",185,,7,2022-07-13,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,229,Median total household income in 2020,98000,,7,2022-07-13,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",195,,7,2022-07-13,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,238,Average total household income in 2020,108000,,7,2022-07-13,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",200,,10,2022-09-21,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,1402,Renter households,35,,10,2022-09-21,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,425,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2224,Population in the labour force,285,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2225,Employed population,230,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2226,Unemployed population,55,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2228,Participation rate,67.1,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2229,Employment rate,54.1,,15,2022-11-30,00000,2.7,2.1
2021S051235430652,35430652,Barrie,2021A00053543042,2021,2230,Unemployment rate,19.3,,15,2022-11-30,00000,2.7,2.1
2021S051235430653,35430653,Barrie,2021A00053543042,2021,1,"Population, 2021",513,,1,2022-02-09,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,6,Population density per square kilometre,1986.8,,1,2022-02-09,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.26,,1,2022-02-09,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,25,,2,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,40,,2,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,40,,2,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,30,,2,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",190,,4,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,15,,4,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",185,,7,2022-07-13,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,229,Median total household income in 2020,105000,,7,2022-07-13,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",185,,7,2022-07-13,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,238,Average total household income in 2020,107000,,7,2022-07-13,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",190,,10,2022-09-21,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,1402,Renter households,60,,10,2022-09-21,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,410,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2224,Population in the labour force,220,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2225,Employed population,205,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2226,Unemployed population,15,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2228,Participation rate,53.7,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2229,Employment rate,50,,15,2022-11-30,00000,2.2,2.2
2021S051235430653,35430653,Barrie,2021A00053543042,2021,2230,Unemployment rate,6.8,,15,2022-11-30,00000,2.2,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,1,"Population, 2021",496,,1,2022-02-09,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,6,Population density per square kilometre,4095.8,,1,2022-02-09,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.12,,1,2022-02-09,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,25,,2,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,40,,2,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,40,,2,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,40,,2,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",190,,4,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,10,,4,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",190,,7,2022-07-13,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,229,Median total household income in 2020,101000,,7,2022-07-13,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",180,,7,2022-07-13,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,238,Average total household income in 2020,110000,,7,2022-07-13,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",180,,10,2022-09-21,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,1402,Renter households,40,,10,2022-09-21,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,370,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2224,Population in the labour force,255,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2225,Employed population,220,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2226,Unemployed population,35,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2228,Participation rate,68.9,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2229,Employment rate,59.5,,15,2022-11-30,00000,0.5,2.2
2021S051235430654,35430654,Barrie,2021A00053543042,2021,2230,Unemployment rate,13.7,,15,2022-11-30,00000,0.5,2.2
2021S051235430655,35430655,Barrie,2021A00053543042,2021,1,"Population, 2021",637,,1,2022-02-09,00000,3.3,8.3
2021S051235430655,35430655,Barrie,2021A00053543042,2021,6,Population density per square kilometre,5264.5,,1,2022-02-09,00000,3.3,8.3
